date,symbol,side,quantity,price,order_type,realized_pnl
2023-06-30,COST,buy,25,534.66,Market,0.0
2023-07-02,INTC,sell,25,32.1,Market,30.87
2023-07-03,AAPL,buy,30,182.29,Market,0.0
2023-07-04,COST,sell,25,556.05,Market,534.66
2023-07-04,MSFT,buy,30,297.75,Market,0.0
2023-07-05,AAPL,sell,30,182.29,Market,0.0
2023-07-07,MSFT,sell,30,297.75,Market,0.0
2023-07-10,GOOGL,buy,30,115.45,Market,0.0
2023-07-12,AMZN,buy,30,119.1,Market,0.0
2023-07-13,GOOGL,sell,30,115.45,Market,0.0
2023-07-15,AMZN,sell,30,119.1,Market,0.0
2023-07-27,TSLA,buy,30,236.98,Market,0.0
2023-07-29,TSLA,sell,30,236.98,Market,0.0
2023-08-05,TSLA,buy,50,258.31,Market,0.0
2023-08-19,TSLA,sell,50,232.48,Market,-1291.54
2023-08-20,NVDA,buy,50,291.43,Market,0.0
2023-08-25,INTC,buy,37,30.8,Market,0.0
2023-08-27,INTC,sell,37,29.46,Market,-49.68
2023-09-01,NVDA,sell,50,262.28,Market,-1457.13
2023-09-05,TSLA,buy,60,251.08,Market,0.0
2023-09-06,AMZN,buy,30,120.29,Market,0.0
2023-09-07,AMZN,sell,30,114.27,Market,-180.43
2023-09-07,TSLA,buy,30,213.01,Market,0.0
2023-09-07,TSLA,sell,60,210.9,Market,-2410.33
2023-09-08,TSLA,sell,30,202.36,Market,-319.52
2023-09-15,AVGO,buy,31,613.5,Market,0.0
2023-09-17,AVGO,sell,31,570.25,Market,-1340.6
2023-09-20,NVDA,buy,70,283.27,Market,0.0
2023-09-21,NVDA,buy,30,240.32,Market,0.0
2023-09-22,META,buy,30,208.43,Market,0.0
2023-09-22,NVDA,sell,30,228.31,Market,-360.48
2023-09-22,NVDA,sell,70,237.94,Market,-3172.57
2023-09-23,META,sell,30,198.01,Market,-312.65
2023-10-05,AMD,buy,80,105.25,Market,0.0
2023-10-06,AMD,buy,30,89.29,Market,0.0
2023-10-07,INTC,buy,30,32.42,Market,0.0
2023-10-07,AMD,sell,30,84.83,Market,-133.94
2023-10-07,AMD,sell,80,88.41,Market,-1347.18
2023-10-08,INTC,sell,30,30.8,Market,-48.63
2023-10-20,META,buy,90,213.85,Market,0.0
2023-10-21,COST,buy,30,561.61,Market,0.0
2023-10-22,NFLX,buy,30,389.7,Market,0.0
2023-10-22,COST,sell,30,533.53,Market,-842.42
2023-10-22,META,sell,90,179.64,Market,-3079.47
2023-10-23,NFLX,sell,30,370.21,Market,-584.55
2023-10-27,NVDA,buy,32,228.31,Market,0.0
2023-10-29,NVDA,sell,32,220.02,Market,-265.02
2023-10-30,GOOGL,buy,100,124.69,Market,0.0
2023-10-31,AVGO,buy,30,645.79,Market,0.0
2023-11-01,AAPL,buy,30,184.12,Market,0.0
2023-11-01,AVGO,sell,30,613.5,Market,-968.68
2023-11-01,GOOGL,sell,100,104.74,Market,-1995.01
2023-11-01,AAPL,buy,35,174.89,Market,0.0
2023-11-02,AAPL,sell,30,174.91,Market,-276.17
2023-11-05,AAPL,sell,35,166.3,Market,-300.63
2023-11-06,MSFT,buy,21,295.58,Market,0.0
2023-11-09,GOOGL,buy,30,104.74,Market,0.0
2023-11-10,AMZN,buy,25,114.27,Market,0.0
2024-01-06,GOOGL,sell,30,100.95,Market,-113.62
2024-01-06,AMZN,sell,25,115.69,Market,35.43
2024-01-23,MSFT,sell,21,299.07,Market,73.42
